phase,Unnamed: 0,date,open,high,low,close,volume
growth,0,2020-06-30,107.574,107.984,107.52,107.921,233477
growth,1,2020-07-01,107.921,108.165,107.361,107.468,201039
growth,2,2020-07-02,107.468,107.725,107.333,107.493,163062
growth,3,2020-07-03,107.493,107.569,107.434,107.486,105827
growth,4,2020-07-06,107.455,107.772,107.258,107.334,128244
growth,5,2020-07-07,107.334,107.791,107.245,107.516,138748
growth,6,2020-07-08,107.516,107.711,107.201,107.255,125405
growth,7,2020-07-09,107.255,107.397,107.097,107.198,178025
growth,8,2020-07-10,107.198,107.264,106.636,106.892,151760
growth,9,2020-07-13,106.884,107.319,106.787,107.29,131483
growth,10,2020-07-14,107.29,107.435,107.118,107.233,189490
growth,11,2020-07-15,107.233,107.31,106.666,106.931,171814
growth,12,2020-07-16,106.931,107.402,106.833,107.21,173810
growth,13,2020-07-17,107.21,107.362,106.939,107.014,135795
growth,14,2020-07-20,107.014,107.545,107.013,107.247,159784
growth,15,2020-07-21,107.247,107.368,106.679,106.793,176453
growth,16,2020-07-22,106.793,107.289,106.711,107.152,174734
growth,17,2020-07-23,107.152,107.229,106.711,106.859,145894
growth,18,2020-07-24,106.859,106.905,105.682,106.076,232360
growth,19,2020-07-27,106.008,106.105,105.116,105.369,234885
growth,20,2020-07-28,105.369,105.687,104.956,105.09,218994
growth,21,2020-07-29,105.09,105.242,104.772,104.918,245106
growth,22,2020-07-30,104.918,105.296,104.68,104.725,243617
growth,23,2020-07-31,104.725,106.055,104.185,105.85,396995
growth,24,2020-08-03,105.752,106.472,105.581,105.949,364017
growth,25,2020-08-04,105.949,106.195,105.638,105.714,209234
growth,26,2020-08-05,105.714,105.874,105.321,105.597,257063
growth,27,2020-08-06,105.597,105.698,105.301,105.544,251022
growth,28,2020-08-07,105.544,106.057,105.458,105.904,246097
growth,29,2020-08-10,105.852,106.203,105.708,105.958,161834
growth,30,2020-08-11,105.958,106.685,105.876,106.487,243814
growth,31,2020-08-12,106.487,107.015,106.44,106.906,248987
growth,32,2020-08-13,106.906,107.05,106.566,106.922,214737
growth,33,2020-08-14,106.922,107.039,106.435,106.541,164248
growth,34,2020-08-17,106.541,106.654,105.943,106.002,165506
growth,35,2020-08-18,106.002,106.052,105.283,105.401,215578
growth,36,2020-08-19,105.401,106.152,105.103,106.103,247787
growth,37,2020-08-20,106.103,106.219,105.745,105.791,251127
growth,38,2020-08-21,105.791,106.072,105.442,105.758,206046
growth,39,2020-08-24,105.767,105.998,105.69,105.973,164226
growth,40,2020-08-25,105.973,106.578,105.871,106.384,200060
growth,41,2020-08-26,106.384,106.556,105.956,105.981,179617
growth,42,2020-08-27,105.981,106.701,105.601,106.561,337575
growth,43,2020-08-28,106.561,106.947,105.202,105.339,364098
growth,44,2020-08-31,105.452,106.096,105.291,105.899,251450
growth,45,2020-09-01,105.899,106.152,105.593,105.944,255027
growth,46,2020-09-02,105.944,106.302,105.85,106.177,202646
growth,47,2020-09-03,106.177,106.552,106.003,106.181,225986
growth,48,2020-09-04,106.181,106.506,106.056,106.208,196762
growth,49,2020-09-07,106.241,106.386,106.132,106.236,126147
growth,50,2020-09-08,106.236,106.382,105.861,106.023,183728
growth,51,2020-09-09,106.023,106.274,105.789,106.175,189241
growth,52,2020-09-10,106.175,106.303,105.981,106.122,181986
growth,53,2020-09-11,106.122,106.266,106.056,106.137,154194
growth,54,2020-09-14,106.088,106.166,105.546,105.716,128878
growth,55,2020-09-15,105.716,105.814,105.299,105.439,160032
growth,56,2020-09-16,105.439,105.439,104.798,104.941,228003
growth,57,2020-09-17,104.941,105.175,104.525,104.738,208613
growth,58,2020-09-18,104.738,104.873,104.273,104.55,167274
growth,59,2020-09-21,104.483,104.907,104.0,104.643,229195
growth,60,2020-09-22,104.643,105.077,104.406,104.924,191036
growth,61,2020-09-23,104.924,105.497,104.845,105.355,214602
growth,62,2020-09-24,105.355,105.531,105.205,105.39,210247
growth,63,2020-09-25,105.39,105.7,105.24,105.551,181910
growth,64,2020-09-28,105.475,105.693,105.264,105.446,172838
growth,65,2020-09-29,105.446,105.735,105.342,105.612,212254
growth,66,2020-09-30,105.612,105.804,105.401,105.413,248106
growth,67,2020-10-01,105.413,105.728,105.402,105.501,239013
growth,68,2020-10-02,105.501,105.666,104.942,105.314,274222
growth,69,2020-10-05,105.242,105.796,105.234,105.744,194031
growth,70,2020-10-06,105.744,105.785,105.469,105.603,216186
growth,71,2020-10-07,105.603,106.108,105.597,105.947,191983
growth,72,2020-10-08,105.947,106.108,105.924,106.018,164610
growth,73,2020-10-09,106.018,106.042,105.58,105.594,182667
growth,74,2020-10-12,105.722,105.795,105.241,105.327,181298
growth,75,2020-10-13,105.327,105.629,105.261,105.467,197466
growth,76,2020-10-14,105.467,105.516,105.037,105.161,165565
growth,77,2020-10-15,105.161,105.494,105.049,105.423,191677
growth,78,2020-10-16,105.423,105.443,105.19,105.377,194805
growth,79,2020-10-19,105.371,105.502,105.3,105.433,172613
growth,80,2020-10-20,105.433,105.749,105.323,105.487,184512
growth,81,2020-10-21,105.487,105.526,104.341,104.588,192971
growth,82,2020-10-22,104.588,104.924,104.476,104.832,143351
growth,83,2020-10-23,104.832,104.936,104.548,104.684,146552
growth,84,2020-10-26,104.659,105.055,104.649,104.83,161687
growth,85,2020-10-27,104.83,104.89,104.389,104.414,135467
growth,86,2020-10-28,104.414,104.556,104.114,104.321,179975
growth,87,2020-10-29,104.321,104.727,104.025,104.572,199557
growth,88,2020-10-30,104.572,104.743,104.125,104.646,231977
growth,89,2020-11-02,104.498,104.949,104.49,104.668,181637
growth,90,2020-11-03,104.668,104.802,104.422,104.425,256842
growth,91,2020-11-04,104.425,105.347,104.15,104.493,480587
growth,92,2020-11-05,104.493,104.544,103.441,103.446,308264
growth,93,2020-11-06,103.446,103.759,103.176,103.342,332082
growth,94,2020-11-09,103.306,105.647,103.186,105.357,405467
growth,95,2020-11-10,105.357,105.487,104.82,105.256,297558
growth,96,2020-11-11,105.256,105.677,105.007,105.426,203918
growth,97,2020-11-12,105.426,105.478,105.07,105.13,201159
growth,98,2020-11-13,105.13,105.15,104.555,104.555,212282
growth,99,2020-11-16,104.708,105.138,104.363,104.568,222225
growth,100,2020-11-17,104.568,104.6,104.071,104.184,189463
growth,101,2020-11-18,104.184,104.203,103.652,103.796,186380
growth,102,2020-11-19,103.796,104.216,103.718,103.74,201615
growth,103,2020-11-20,103.74,103.911,103.701,103.824,162825
growth,104,2020-11-23,103.73,104.638,103.683,104.441,218699
growth,105,2020-11-24,104.441,104.763,104.147,104.424,212670
growth,106,2020-11-25,104.424,104.599,104.256,104.434,207735
growth,107,2020-11-26,104.434,104.47,104.214,104.227,185966
growth,108,2020-11-27,104.227,104.278,103.905,104.041,136014
