phase,Unnamed: 0,date,open,high,low,close,volume
,0,2020-06-30,90.02,91.5,90.0,91.2,140223284
,1,2020-07-01,91.28,91.84,90.98,91.03,110737236
,2,2020-07-02,91.96,92.62,90.91,91.03,114041600
,3,2020-07-06,92.5,93.95,92.47,93.46,118655652
,4,2020-07-07,93.85,94.66,93.06,93.17,112424456
,5,2020-07-08,94.18,95.38,94.09,95.34,117092000
,6,2020-07-09,96.26,96.32,94.67,95.68,125642800
,7,2020-07-10,95.34,95.98,94.71,95.92,90257320
,8,2020-07-13,97.27,99.96,95.26,95.48,191649200
,9,2020-07-14,94.84,97.26,93.88,97.06,170989364
,10,2020-07-15,98.99,99.25,96.49,97.73,153198000
,11,2020-07-16,96.56,97.41,95.91,96.52,110577672
,12,2020-07-17,96.99,97.15,95.84,96.33,92186900
,13,2020-07-20,96.42,98.5,96.06,98.36,90318000
,14,2020-07-21,99.17,99.25,96.74,97.0,103645836
,15,2020-07-22,96.69,97.98,96.6,97.27,89001652
,16,2020-07-23,97.0,97.08,92.01,92.85,197004432
,17,2020-07-24,90.99,92.97,89.15,92.62,185438864
,18,2020-07-27,93.71,94.91,93.48,94.81,121214192
,19,2020-07-28,94.37,94.55,93.25,93.25,103625600
,20,2020-07-29,93.75,95.23,93.71,95.04,90329256
,21,2020-07-30,94.19,96.3,93.77,96.19,158130020
,22,2020-07-31,102.88,106.42,100.83,106.26,374336800
,23,2020-08-03,108.2,111.64,107.89,108.94,308151388
,24,2020-08-04,109.13,110.79,108.39,109.67,173071600
,25,2020-08-05,109.38,110.39,108.9,110.06,121991952
,26,2020-08-06,110.41,114.41,109.8,113.9,202428900
,27,2020-08-07,113.21,113.68,110.29,111.11,198045612
,28,2020-08-10,112.6,113.78,110.0,112.73,212403600
,29,2020-08-11,111.97,112.48,109.11,109.38,187902400
,30,2020-08-12,110.5,113.28,110.3,113.01,165944820
,31,2020-08-13,114.43,116.04,113.93,115.01,210082064
,32,2020-08-14,114.83,115.0,113.05,114.91,165565208
,33,2020-08-17,116.06,116.09,113.96,114.61,119561600
,34,2020-08-18,114.35,116.0,114.01,115.56,105633600
,35,2020-08-19,115.98,117.16,115.61,115.71,145538008
,36,2020-08-20,115.75,118.39,115.73,118.28,126907200
,37,2020-08-21,119.26,124.87,119.25,124.37,338054800
,38,2020-08-24,128.7,128.79,123.94,125.86,345937768
,39,2020-08-25,124.7,125.18,123.05,124.83,211495788
,40,2020-08-26,126.18,126.99,125.08,126.52,163022400
,41,2020-08-27,127.14,127.49,123.83,125.01,155552400
,42,2020-08-28,126.01,126.44,124.58,124.81,187630000
,43,2020-08-31,127.58,131.0,126.0,129.04,225702700
,44,2020-09-01,132.76,134.8,130.53,134.18,152470142
,45,2020-09-02,137.59,137.98,127.0,131.4,200119000
,46,2020-09-03,126.91,128.84,120.5,120.88,257599640
,47,2020-09-04,120.07,123.7,110.89,120.96,332607200
,48,2020-09-08,113.95,118.99,112.68,112.82,231366600
,49,2020-09-09,117.26,119.14,115.26,117.32,176940500
,50,2020-09-10,120.36,120.5,112.5,113.49,182274400
,51,2020-09-11,114.57,115.23,110.0,112.0,180860325
,52,2020-09-14,114.72,115.93,112.8,115.36,140150100
,53,2020-09-15,118.33,118.83,113.61,115.54,184642039
,54,2020-09-16,115.23,116.0,112.04,112.13,155026675
,55,2020-09-17,109.72,112.2,108.71,110.34,178011000
,56,2020-09-18,110.4,110.88,106.09,106.84,287104900
,57,2020-09-21,104.54,110.19,103.1,110.08,195713815
,58,2020-09-22,112.68,112.86,109.16,111.81,183055400
,59,2020-09-23,111.62,112.11,106.77,107.12,150718700
,60,2020-09-24,105.17,110.25,105.0,108.22,167743349
,61,2020-09-25,108.43,112.44,107.67,112.28,149981441
,62,2020-09-28,115.01,115.32,112.78,114.96,137672403
,63,2020-09-29,114.55,115.31,113.57,114.09,100060526
,64,2020-09-30,113.79,117.26,113.62,115.81,142675200
,65,2020-10-01,117.64,117.72,115.83,116.79,116120440
,66,2020-10-02,112.89,115.37,112.22,113.02,144712000
,67,2020-10-05,113.91,116.65,113.55,116.5,106243839
,68,2020-10-06,115.7,116.12,112.25,113.16,161498212
,69,2020-10-07,114.62,115.55,114.13,115.08,96849000
,70,2020-10-08,116.25,116.4,114.59,114.97,83477200
,71,2020-10-09,115.28,117.0,114.92,116.97,100506900
,72,2020-10-12,120.06,125.18,119.28,124.4,240226800
,73,2020-10-13,125.27,125.39,119.65,121.1,262330500
,74,2020-10-14,121.0,123.03,119.62,121.19,151062308
,75,2020-10-15,118.72,121.2,118.15,120.71,112559219
,76,2020-10-16,121.28,121.55,118.81,119.02,115393808
,77,2020-10-19,119.96,120.42,115.66,115.98,120639337
,78,2020-10-20,116.2,118.98,115.63,117.51,124423728
,79,2020-10-21,116.67,118.71,116.45,116.87,89946000
,80,2020-10-22,117.45,118.04,114.59,115.75,101988000
,81,2020-10-23,116.39,116.55,114.28,115.04,82572645
,82,2020-10-26,114.01,116.55,112.88,115.05,111850700
,83,2020-10-27,115.49,117.28,114.54,116.6,92276800
,84,2020-10-28,115.05,115.43,111.1,111.2,143937823
,85,2020-10-29,112.37,116.93,112.2,115.32,146129200
,86,2020-10-30,111.06,111.99,107.72,108.86,190573476
,87,2020-11-02,109.11,110.68,107.32,108.77,122866900
,88,2020-11-03,109.66,111.49,108.73,110.44,107624448
,89,2020-11-04,114.14,115.59,112.35,114.95,138235500
,90,2020-11-05,117.95,119.62,116.87,119.03,126387100
,91,2020-11-06,118.32,119.2,116.13,118.69,114457922
,92,2020-11-09,120.5,121.99,116.05,116.32,154515315
,93,2020-11-10,115.55,117.59,114.13,115.97,138023400
,94,2020-11-11,117.19,119.63,116.44,119.49,112295000
,95,2020-11-12,119.62,120.53,118.57,119.21,103350674
,96,2020-11-13,119.44,119.67,117.87,119.26,81688586
,97,2020-11-16,118.92,120.99,118.15,120.3,91183018
,98,2020-11-17,119.55,120.67,118.96,119.39,74271000
,99,2020-11-18,118.61,119.82,118.0,118.03,76322111
,100,2020-11-19,117.59,119.06,116.81,118.64,74113000
,101,2020-11-20,118.64,118.77,117.29,117.34,73604300
,102,2020-11-23,117.18,117.62,113.75,113.85,127959318
,103,2020-11-24,113.91,115.85,112.59,115.17,113874218
,104,2020-11-25,115.55,116.75,115.17,116.03,76499234
,105,2020-11-27,116.57,117.49,116.22,116.59,46691331
,106,2020-11-30,116.97,120.97,116.81,119.05,169410200
,107,2020-12-01,121.01,123.47,120.01,122.72,128166803
,108,2020-12-02,122.02,123.37,120.89,123.08,89004200
,109,2020-12-03,123.52,123.78,122.21,122.94,78967630
,110,2020-12-04,122.6,122.86,121.52,122.25,78260421
,111,2020-12-07,122.31,124.57,122.25,123.75,86712000
,112,2020-12-08,124.37,124.98,123.09,124.38,82225512
,113,2020-12-09,124.53,125.95,121.0,121.78,115089200
,114,2020-12-10,120.5,123.87,120.15,123.24,81312200
,115,2020-12-11,122.43,122.76,120.55,122.41,86939800
,116,2020-12-14,122.6,123.35,121.54,121.78,79184500
,117,2020-12-15,124.34,127.9,124.13,127.88,157572262
,118,2020-12-16,127.41,128.37,126.56,127.81,98208600
,119,2020-12-17,128.9,129.58,128.04,128.7,94359811
,120,2020-12-18,128.96,129.1,126.12,126.66,192541500
,121,2020-12-21,125.02,128.31,123.45,128.23,121251600
,122,2020-12-22,131.61,134.41,129.65,131.88,169351825
,123,2020-12-23,132.16,132.43,130.78,130.96,88223700
,124,2020-12-24,131.32,133.46,131.1,131.97,54930100
,125,2020-12-28,133.99,137.34,133.51,136.69,124486237
,126,2020-12-29,138.05,138.79,134.34,134.87,121047324
,127,2020-12-30,135.58,135.99,133.4,133.72,96452124
,128,2020-12-31,134.08,134.74,131.72,132.69,99116600
,129,2021-01-04,133.52,133.61,126.76,129.41,143301900
,130,2021-01-05,128.89,131.74,128.43,131.01,97664900
,131,2021-01-06,127.72,131.05,126.38,126.6,155088000
,132,2021-01-07,128.36,131.63,127.86,130.92,109578200
,133,2021-01-08,132.43,132.63,130.23,132.05,105158245
,134,2021-01-11,129.19,130.17,128.5,128.98,100620880
,135,2021-01-12,128.5,129.69,126.86,128.8,91951145
,136,2021-01-13,128.76,131.45,128.49,130.89,88636831
,137,2021-01-14,130.8,131.0,128.76,128.91,90221800
,138,2021-01-15,128.78,130.22,127.0,127.14,111598531
,139,2021-01-19,127.78,128.71,126.94,127.83,90757329
,140,2021-01-20,128.66,132.49,128.55,132.03,104319500
,141,2021-01-21,133.8,139.67,133.59,136.87,120529544
,142,2021-01-22,136.28,139.85,135.02,139.07,114459400
,143,2021-01-25,143.07,145.09,136.54,142.92,157611713
,144,2021-01-26,143.6,144.3,141.37,143.16,98390600
,145,2021-01-27,143.43,144.3,140.41,142.06,140843800
,146,2021-01-28,139.52,141.99,136.7,137.09,142621128
,147,2021-01-29,135.83,136.74,130.21,131.96,177523812
,148,2021-02-01,133.75,135.38,130.93,134.14,106239823
,149,2021-02-02,135.73,136.31,134.61,134.99,83305400
,150,2021-02-03,135.76,135.77,133.61,133.94,89880937
,151,2021-02-04,136.3,137.4,134.59,137.39,84183100
,152,2021-02-05,137.35,137.42,135.86,136.76,75693830
,153,2021-02-08,136.03,136.96,134.92,136.91,71297214
,154,2021-02-09,136.62,137.88,135.85,136.01,76774213
,155,2021-02-10,136.48,136.99,134.4,135.39,73046600
,156,2021-02-11,135.9,136.39,133.77,135.13,64280029
,157,2021-02-12,134.35,135.53,133.69,135.37,60145130
,158,2021-02-16,135.49,136.01,132.79,133.19,80576316
,159,2021-02-17,131.25,132.22,129.47,130.84,98085249
,160,2021-02-18,129.2,130.0,127.41,129.71,96856748
,161,2021-02-19,130.24,130.71,128.8,129.87,87668834
,162,2021-02-22,128.01,129.72,125.6,126.0,103916419
,163,2021-02-23,123.76,126.71,118.39,125.86,158273022
,164,2021-02-24,124.94,125.56,122.23,125.35,111039904
,165,2021-02-25,124.68,126.46,120.54,120.99,148199540
,166,2021-02-26,122.59,124.85,121.2,121.26,164560400
,167,2021-03-01,123.75,127.93,122.79,127.79,116307900
,168,2021-03-02,128.41,128.72,125.01,125.12,102260945
,169,2021-03-03,124.81,125.71,121.84,122.06,112966340
,170,2021-03-04,121.75,123.6,118.62,120.13,178155000
,171,2021-03-05,120.98,121.94,117.57,121.42,153766601
,172,2021-03-08,120.93,121.0,116.21,116.36,154376610
,173,2021-03-09,119.03,122.06,118.79,121.09,129525800
,174,2021-03-10,121.69,122.17,119.45,119.98,111943326
,175,2021-03-11,122.54,123.21,121.26,121.96,103026514
,176,2021-03-12,120.4,121.17,119.16,121.03,88105100
,177,2021-03-15,121.41,124.0,120.42,123.99,92590555
,178,2021-03-16,125.7,127.22,124.72,125.57,115227936
,179,2021-03-17,124.05,125.86,122.34,124.76,111932636
,180,2021-03-18,122.88,123.18,120.32,120.53,121469755
,181,2021-03-19,119.9,121.43,119.68,119.99,185549522
,182,2021-03-22,120.33,123.87,120.26,123.39,111912300
,183,2021-03-23,123.33,124.24,122.14,122.54,95467142
,184,2021-03-24,122.82,122.9,120.07,120.09,88530500
,185,2021-03-25,119.54,121.66,119.0,120.59,98844700
,186,2021-03-26,120.35,121.48,118.92,121.21,94071234
,187,2021-03-29,121.65,122.58,120.73,121.39,80819203
,188,2021-03-30,120.11,120.4,118.86,119.9,85671919
,189,2021-03-31,121.65,123.52,121.15,122.15,118323826
,190,2021-04-01,123.66,124.18,122.49,123.0,75089134
,191,2021-04-05,123.87,126.16,123.07,125.9,88651200
,192,2021-04-06,126.5,127.13,125.65,126.21,80171300
,193,2021-04-07,125.83,127.92,125.14,127.9,83466716
,194,2021-04-08,128.95,130.39,128.52,130.36,88844600
,195,2021-04-09,129.8,133.04,129.47,133.0,106686703
,196,2021-04-12,132.52,132.85,130.63,131.24,91420000
,197,2021-04-13,132.44,134.66,131.93,134.43,91266545
,198,2021-04-14,134.94,135.0,131.66,132.03,87222800
,199,2021-04-15,133.82,135.0,133.64,134.5,89347102
,200,2021-04-16,134.3,134.67,133.28,134.16,84922400
,201,2021-04-19,133.51,135.47,133.34,134.84,94264215
,202,2021-04-20,135.02,135.53,131.81,133.11,94812349
,203,2021-04-21,132.36,133.75,131.3,133.5,68847136
,204,2021-04-22,133.04,134.15,131.41,131.94,84566500
,205,2021-04-23,132.16,135.12,132.16,134.32,78756779
,206,2021-04-26,134.83,135.06,133.56,134.72,66905100
,207,2021-04-27,135.01,135.41,134.11,134.39,66015804
,208,2021-04-28,134.31,135.02,133.08,133.58,107760100
,209,2021-04-29,136.47,137.07,132.45,133.48,151101000
,210,2021-04-30,131.78,133.56,131.07,131.46,109839500
,211,2021-05-03,132.04,134.07,131.83,132.54,75135100
,212,2021-05-04,131.19,131.49,126.7,127.85,137564718
,213,2021-05-05,129.2,130.45,127.97,128.1,84000900
,214,2021-05-06,127.89,129.75,127.13,129.74,78128334
,215,2021-05-07,130.85,131.26,129.48,130.21,78973300
,216,2021-05-10,129.41,129.54,126.81,126.85,88071229
,217,2021-05-11,123.5,126.27,122.77,125.91,126142826
,218,2021-05-12,123.4,124.64,122.25,122.77,112172300
,219,2021-05-13,124.58,126.15,124.26,124.97,105861339
,220,2021-05-14,126.25,127.89,125.85,127.45,81918000
,221,2021-05-17,126.82,126.93,125.17,126.27,74244624
,222,2021-05-18,126.56,126.99,124.78,124.85,63342929
,223,2021-05-19,123.16,124.92,122.86,124.69,92612000
,224,2021-05-20,125.23,127.72,125.1,127.31,76857123
,225,2021-05-21,127.82,128.0,125.21,125.43,79295436
,226,2021-05-24,126.01,127.94,125.94,127.1,63092945
,227,2021-05-25,127.82,128.32,126.32,126.9,72009500
,228,2021-05-26,126.96,127.39,126.42,126.85,56575920
,229,2021-05-27,126.44,127.64,125.08,125.28,94625601
,230,2021-05-28,125.57,125.8,124.55,124.61,71311109
,231,2021-06-01,125.08,125.35,123.94,124.28,67637118
,232,2021-06-02,124.28,125.24,124.05,125.06,59278900
,233,2021-06-03,124.68,124.85,123.13,123.54,76229200
,234,2021-06-04,124.07,126.16,123.85,125.89,75169343
,235,2021-06-07,126.17,126.32,124.83,125.9,71057600
,236,2021-06-08,126.6,128.46,126.21,126.74,74403800
,237,2021-06-09,127.21,127.75,126.52,127.13,56877937
,238,2021-06-10,127.02,128.19,125.94,126.11,71186421
,239,2021-06-11,126.53,127.44,126.1,127.35,53522400
,240,2021-06-14,127.82,130.54,127.07,130.48,96906500
,241,2021-06-15,129.94,130.6,129.39,129.64,62746332
,242,2021-06-16,130.37,130.89,128.46,130.15,91815026
,243,2021-06-17,129.8,132.55,129.65,131.79,96721700
,244,2021-06-18,130.71,131.51,130.24,130.46,108953309
,245,2021-06-21,130.3,132.41,129.21,132.3,79663316
,246,2021-06-22,132.13,134.08,131.62,133.98,74783618
,247,2021-06-23,133.77,134.32,133.23,133.7,60214200
,248,2021-06-24,134.45,134.64,132.93,133.41,68711000
,249,2021-06-25,133.46,133.89,132.81,133.11,70783746
,250,2021-06-28,133.41,135.25,133.35,134.78,62111303
,251,2021-06-29,134.8,136.49,134.35,136.33,64556100
,252,2021-06-30,136.17,137.41,135.87,136.96,63261400
,253,2021-07-01,136.6,137.33,135.76,137.27,52485800
,254,2021-07-02,137.9,140.0,137.75,139.96,78945572
,255,2021-07-06,140.07,143.15,140.07,142.02,108181800
,256,2021-07-07,143.54,144.89,142.66,144.57,104911600
,257,2021-07-08,141.58,144.06,140.67,143.24,105575500
,258,2021-07-09,142.75,145.65,142.65,145.11,99890800
,259,2021-07-12,146.21,146.32,144.0,144.5,76299719
,260,2021-07-13,144.03,147.46,143.63,145.64,100827100
,261,2021-07-14,148.1,149.57,147.68,149.15,127050800
,262,2021-07-15,149.24,150.0,147.09,148.48,106820300
,263,2021-07-16,148.46,149.76,145.88,146.39,93251426
,264,2021-07-19,143.75,144.07,141.67,142.45,121434600
,265,2021-07-20,143.46,147.1,142.96,146.15,96350036
,266,2021-07-21,145.53,146.13,144.63,145.4,74993500
,267,2021-07-22,145.94,148.2,145.81,146.8,77338200
,268,2021-07-23,147.55,148.72,146.92,148.56,71447416
,269,2021-07-26,148.27,149.83,147.7,148.99,72434100
,270,2021-07-27,149.12,149.21,145.55,146.77,104818600
,271,2021-07-28,144.81,146.97,142.54,144.98,118931200
,272,2021-07-29,144.69,146.55,144.58,145.64,56699500
,273,2021-07-30,144.38,146.33,144.11,145.86,70440626
,274,2021-08-02,146.36,146.95,145.25,145.52,62880000
,275,2021-08-03,145.81,148.04,145.18,147.36,64786618
,276,2021-08-04,147.27,147.79,146.28,146.95,56368300
,277,2021-08-05,146.98,147.84,146.17,147.06,46397700
,278,2021-08-06,146.35,147.11,145.63,146.14,54126813
,279,2021-08-09,146.2,146.7,145.52,146.09,48908700
,280,2021-08-10,146.44,147.71,145.3,145.6,69023100
,281,2021-08-11,146.05,146.72,145.53,145.86,48493500
,282,2021-08-12,146.19,149.05,145.84,148.89,73779113
,283,2021-08-13,148.97,149.44,148.27,149.1,59375009
,284,2021-08-16,148.54,151.19,146.47,151.12,103558782
,285,2021-08-17,150.23,151.68,149.09,150.19,92229735
,286,2021-08-18,149.8,150.72,146.15,146.36,86326000
,287,2021-08-19,145.03,148.0,144.5,146.7,86960310
,288,2021-08-20,147.44,148.5,146.78,148.19,60549630
,289,2021-08-23,148.31,150.19,147.89,149.71,60131810
,290,2021-08-24,149.45,150.86,149.15,149.62,48606428
,291,2021-08-25,149.81,150.32,147.8,148.36,58991300
,292,2021-08-26,148.35,149.12,147.51,147.54,48597200
,293,2021-08-27,147.48,148.75,146.83,148.6,55802400
,294,2021-08-30,149.0,153.49,148.61,153.12,90956723
,295,2021-08-31,152.66,152.8,151.29,151.83,86453117
,296,2021-09-01,152.83,154.98,152.34,152.51,80313711
,297,2021-09-02,153.87,154.72,152.4,153.65,71171317
,298,2021-09-03,153.76,154.63,153.09,154.3,57866066
,299,2021-09-07,154.97,157.26,154.39,156.69,82278300
,300,2021-09-08,156.98,157.04,153.98,155.11,74420207
,301,2021-09-09,155.49,156.11,153.95,154.07,57305730
,302,2021-09-10,155.0,155.48,148.7,148.97,140893235
,303,2021-09-13,150.63,151.42,148.75,149.55,102404329
,304,2021-09-14,150.35,151.07,146.91,148.12,109296300
,305,2021-09-15,148.56,149.44,146.37,149.03,83281315
,306,2021-09-16,148.44,148.97,147.22,148.79,68034149
,307,2021-09-17,148.82,148.82,145.76,146.06,129868824
,308,2021-09-20,143.8,144.84,141.27,142.94,123478900
,309,2021-09-21,143.93,144.6,142.78,143.43,75834000
,310,2021-09-22,144.45,146.43,143.7,145.85,76404341
,311,2021-09-23,146.65,147.08,145.64,146.83,64838200
,312,2021-09-24,145.66,147.47,145.56,146.92,53477900
,313,2021-09-27,145.47,145.96,143.82,145.37,74150729
,314,2021-09-28,143.25,144.75,141.69,141.91,108972340
,315,2021-09-29,142.47,144.45,142.03,142.83,74602044
,316,2021-09-30,143.66,144.38,141.28,141.5,89056700
,317,2021-10-01,141.9,142.92,139.11,142.65,94639600
