phase,Unnamed: 0,date,open,high,low,close,volume
,0,2020-06-30,1.12412,1.1262,1.11909,1.12331,328592
,1,2020-07-01,1.12331,1.12752,1.11852,1.12506,316459
,2,2020-07-02,1.12506,1.13027,1.12233,1.12391,315698
,3,2020-07-03,1.12391,1.12512,1.12192,1.12434,245002
,4,2020-07-06,1.12407,1.13454,1.12407,1.13091,268594
,5,2020-07-07,1.13091,1.13326,1.12587,1.12731,296689
,6,2020-07-08,1.12731,1.13519,1.12623,1.13295,289464
,7,2020-07-09,1.13295,1.13706,1.12802,1.12845,338430
,8,2020-07-10,1.12845,1.13247,1.12549,1.12972,258916
,9,2020-07-13,1.13026,1.13749,1.13009,1.13438,278642
,10,2020-07-14,1.13438,1.14088,1.13251,1.13995,350672
,11,2020-07-15,1.13995,1.1452,1.13909,1.14115,314252
,12,2020-07-16,1.14115,1.14418,1.13705,1.13835,319339
,13,2020-07-17,1.13835,1.14437,1.13732,1.14251,231880
,14,2020-07-20,1.14155,1.14677,1.14024,1.14472,323084
,15,2020-07-21,1.14472,1.15398,1.1423,1.15266,342333
,16,2020-07-22,1.15266,1.16016,1.15071,1.15696,419181
,17,2020-07-23,1.15696,1.16268,1.15403,1.15959,370834
,18,2020-07-24,1.15959,1.16581,1.15812,1.16541,374691
,19,2020-07-27,1.16425,1.17814,1.16415,1.17512,398263
,20,2020-07-28,1.17512,1.17737,1.16987,1.17152,394594
,21,2020-07-29,1.17152,1.18067,1.17109,1.17914,397407
,22,2020-07-30,1.17914,1.18483,1.17311,1.18469,418315
,23,2020-07-31,1.18469,1.1909,1.1762,1.17754,513253
,24,2020-08-03,1.17717,1.17968,1.16957,1.1762,355788
,25,2020-08-04,1.1762,1.18063,1.17214,1.18023,348303
,26,2020-08-05,1.18023,1.19049,1.17928,1.18629,343698
,27,2020-08-06,1.18629,1.19162,1.1818,1.18763,434851
,28,2020-08-07,1.18763,1.18831,1.17555,1.17832,436772
,29,2020-08-10,1.17877,1.18007,1.17359,1.17376,274088
,30,2020-08-11,1.17376,1.1808,1.1722,1.17397,395456
,31,2020-08-12,1.17397,1.18172,1.17111,1.17837,377698
,32,2020-08-13,1.17837,1.18642,1.17778,1.18131,335750
,33,2020-08-14,1.18131,1.18504,1.17817,1.18405,281154
,34,2020-08-17,1.18387,1.18811,1.18287,1.18698,243805
,35,2020-08-18,1.18698,1.19656,1.1864,1.19313,333276
,36,2020-08-19,1.19313,1.19527,1.18302,1.18366,392931
,37,2020-08-20,1.18366,1.18687,1.18022,1.18605,389795
,38,2020-08-21,1.18605,1.18829,1.1754,1.17939,330106
,39,2020-08-24,1.17894,1.18496,1.17842,1.17874,246814
,40,2020-08-25,1.17874,1.18439,1.17842,1.18344,288169
,41,2020-08-26,1.18344,1.18394,1.17725,1.18298,272237
,42,2020-08-27,1.18298,1.1902,1.17621,1.18212,532368
,43,2020-08-28,1.18212,1.19197,1.1811,1.19029,405764
,44,2020-08-31,1.18991,1.19661,1.18839,1.19361,324673
,45,2020-09-01,1.19361,1.20114,1.19012,1.19113,419438
,46,2020-09-02,1.19113,1.19288,1.18223,1.18547,369514
,47,2020-09-03,1.18547,1.18646,1.1789,1.18514,375459
,48,2020-09-04,1.18514,1.18653,1.17808,1.18356,410968
,49,2020-09-07,1.18455,1.18487,1.18111,1.18119,176321
,50,2020-09-08,1.18119,1.18276,1.17654,1.17741,386006
,51,2020-09-09,1.17741,1.18342,1.17527,1.18027,329560
,52,2020-09-10,1.18027,1.19177,1.17984,1.18146,436772
,53,2020-09-11,1.18146,1.18742,1.181,1.18436,265287
,54,2020-09-14,1.18335,1.1888,1.18319,1.18632,217709
,55,2020-09-15,1.18632,1.19005,1.18395,1.18461,243925
,56,2020-09-16,1.18461,1.18827,1.17878,1.18155,393681
,57,2020-09-17,1.18155,1.18524,1.17372,1.1848,369279
,58,2020-09-18,1.1848,1.18705,1.18261,1.18374,274561
,59,2020-09-21,1.18405,1.18719,1.17316,1.17706,383649
,60,2020-09-22,1.17706,1.17737,1.16916,1.17077,382516
,61,2020-09-23,1.17077,1.1719,1.16512,1.16594,354163
,62,2020-09-24,1.16594,1.16869,1.16265,1.16677,354438
,63,2020-09-25,1.16677,1.16851,1.16121,1.16279,311918
,64,2020-09-28,1.16229,1.168,1.16151,1.16639,268908
,65,2020-09-29,1.16639,1.17455,1.16608,1.17425,274672
,66,2020-09-30,1.17425,1.1755,1.16843,1.17191,386916
,67,2020-10-01,1.17191,1.17696,1.17167,1.17442,374844
,68,2020-10-02,1.17442,1.17487,1.16958,1.17138,391177
,69,2020-10-05,1.17115,1.17976,1.1706,1.1781,233959
,70,2020-10-06,1.1781,1.18078,1.17318,1.17334,324154
,71,2020-10-07,1.17334,1.1782,1.1725,1.17602,265910
,72,2020-10-08,1.17602,1.17818,1.17329,1.17578,211588
,73,2020-10-09,1.17578,1.18309,1.17525,1.18291,227602
,74,2020-10-12,1.18086,1.18268,1.17868,1.18104,184022
,75,2020-10-13,1.18104,1.18158,1.17305,1.17433,232967
,76,2020-10-14,1.17433,1.1771,1.17198,1.17449,223799
,77,2020-10-15,1.17449,1.17578,1.16886,1.17073,255233
,78,2020-10-16,1.17073,1.17462,1.16939,1.17133,242154
,79,2020-10-19,1.17167,1.17939,1.17032,1.17693,218529
,80,2020-10-20,1.17693,1.18408,1.176,1.18213,220238
,81,2020-10-21,1.18213,1.18808,1.18203,1.18565,264705
,82,2020-10-22,1.18565,1.18669,1.18113,1.18177,233454
,83,2020-10-23,1.18177,1.18648,1.17868,1.18573,233292
,84,2020-10-26,1.18516,1.18597,1.18033,1.18085,227622
,85,2020-10-27,1.18085,1.18389,1.17924,1.17947,201111
,86,2020-10-28,1.17947,1.17973,1.17178,1.17462,286418
,87,2020-10-29,1.17462,1.17588,1.16502,1.16729,299403
,88,2020-10-30,1.16729,1.17043,1.164,1.1645,312824
,89,2020-11-02,1.1647,1.16558,1.16222,1.1641,232504
,90,2020-11-03,1.1641,1.174,1.16309,1.17112,220102
,91,2020-11-04,1.17112,1.1771,1.16025,1.17211,599579
,92,2020-11-05,1.17211,1.18598,1.17108,1.18211,384546
,93,2020-11-06,1.18211,1.18909,1.17953,1.18731,381953
,94,2020-11-09,1.18898,1.19201,1.17953,1.18126,502585
,95,2020-11-10,1.18126,1.18433,1.17797,1.1813,386933
