phase,Unnamed: 0,date,open,high,low,close,volume
,0,2020-06-30,1.22976,1.24017,1.22578,1.23992,319473
,1,2020-07-01,1.23992,1.24904,1.23593,1.24748,313506
,2,2020-07-02,1.24748,1.253,1.24562,1.24675,296553
,3,2020-07-03,1.24675,1.24865,1.24379,1.24816,290035
,4,2020-07-06,1.24602,1.25202,1.24571,1.24919,277752
,5,2020-07-07,1.24919,1.25923,1.24625,1.25407,322095
,6,2020-07-08,1.25407,1.26231,1.25085,1.26096,327309
,7,2020-07-09,1.26096,1.26693,1.25983,1.26056,363897
,8,2020-07-10,1.26056,1.26641,1.25667,1.26126,282747
,9,2020-07-13,1.26121,1.26661,1.25501,1.2554,286376
,10,2020-07-14,1.2554,1.25637,1.24796,1.25532,380875
,11,2020-07-15,1.25532,1.26498,1.25474,1.25874,322389
,12,2020-07-16,1.25874,1.26245,1.25203,1.25531,301582
,13,2020-07-17,1.25531,1.25743,1.25118,1.25634,218530
,14,2020-07-20,1.25652,1.26654,1.25182,1.26613,279516
,15,2020-07-21,1.26613,1.27681,1.26473,1.2731,328928
,16,2020-07-22,1.2731,1.27437,1.26443,1.27335,367371
,17,2020-07-23,1.27335,1.27601,1.26732,1.2741,396865
,18,2020-07-24,1.2741,1.28038,1.27173,1.27906,343856
,19,2020-07-27,1.27902,1.29027,1.27769,1.28815,362317
,20,2020-07-28,1.28815,1.29526,1.2838,1.29311,354896
,21,2020-07-29,1.29311,1.30139,1.29118,1.29963,377604
,22,2020-07-30,1.29963,1.3103,1.29444,1.30947,389402
,23,2020-07-31,1.30947,1.31702,1.30702,1.3077,500129
,24,2020-08-03,1.30785,1.31126,1.30046,1.30746,401632
,25,2020-08-04,1.30746,1.31081,1.29814,1.30704,328019
,26,2020-08-05,1.30704,1.31616,1.30521,1.31138,332549
,27,2020-08-06,1.31138,1.31858,1.3111,1.31415,423753
,28,2020-08-07,1.31415,1.31478,1.30093,1.30482,402934
,29,2020-08-10,1.30502,1.31032,1.3019,1.30716,275024
,30,2020-08-11,1.30716,1.3132,1.30417,1.3047,360622
,31,2020-08-12,1.3047,1.30678,1.30055,1.30327,370665
,32,2020-08-13,1.30327,1.3125,1.30255,1.30667,307787
,33,2020-08-14,1.30667,1.3143,1.30481,1.30787,269471
,34,2020-08-17,1.30919,1.31217,1.30741,1.31029,240480
,35,2020-08-18,1.31029,1.32498,1.30941,1.32387,314746
,36,2020-08-19,1.32387,1.32671,1.30907,1.30907,353114
,37,2020-08-20,1.30907,1.32248,1.30646,1.32141,402734
,38,2020-08-21,1.32141,1.32552,1.30591,1.30854,402961
,39,2020-08-24,1.30802,1.3149,1.30536,1.30629,269766
,40,2020-08-25,1.30629,1.31705,1.30539,1.31512,299071
,41,2020-08-26,1.31512,1.3219,1.31171,1.32092,274004
,42,2020-08-27,1.32092,1.32846,1.31613,1.31991,453947
,43,2020-08-28,1.31991,1.33566,1.31863,1.33479,394983
,44,2020-08-31,1.33332,1.3396,1.33013,1.3369,318663
