phase,Unnamed: 0,date,open,high,low,close,volume
,0,2020-06-30,67.1,72.51,66.92,71.99,253777500
,1,2020-07-01,72.2,75.69,72.03,74.64,199903500
,2,2020-07-02,81.43,81.87,79.04,80.58,258751500
,3,2020-07-06,85.11,91.85,84.4,91.44,308548500
,4,2020-07-07,93.67,95.3,89.11,92.66,322345500
,5,2020-07-08,93.67,94.48,87.42,91.06,244669500
,6,2020-07-09,93.13,93.9,90.09,92.95,175764000
,7,2020-07-10,93.07,103.26,91.73,102.98,350064000
,8,2020-07-13,110.6,119.67,98.07,99.8,584781000
,9,2020-07-14,103.73,106.0,95.4,101.12,351271500
,10,2020-07-15,102.87,103.33,97.13,103.07,245517000
,11,2020-07-16,98.48,102.11,97.73,100.04,214512000
,12,2020-07-17,100.9,102.5,99.33,100.06,139950000
,13,2020-07-20,101.27,110.0,99.2,109.53,256821000
,14,2020-07-21,109.33,111.67,103.87,104.56,241608000
,15,2020-07-22,106.6,108.43,104.13,106.16,212416500
,16,2020-07-23,111.93,112.6,98.72,100.87,364927500
,17,2020-07-24,94.4,97.67,91.1,94.47,290949000
,18,2020-07-27,95.67,103.2,94.2,102.64,240730500
,19,2020-07-28,100.27,104.31,98.29,98.43,237130500
,20,2020-07-29,100.07,102.32,99.13,99.94,141403500
,21,2020-07-30,99.2,100.88,98.07,99.17,114315000
,22,2020-07-31,101.0,101.14,94.73,95.38,183123000
,23,2020-08-03,96.61,100.65,96.29,99.0,132139500
,24,2020-08-04,99.67,101.83,97.47,99.13,126225000
,25,2020-08-05,99.53,99.99,97.89,99.0,74217000
,26,2020-08-06,99.39,101.15,98.48,99.31,89884500
,27,2020-08-07,99.97,99.98,94.33,96.85,133446000
,28,2020-08-10,96.53,97.17,92.39,94.57,112834500
,29,2020-08-11,93.07,94.67,91.0,91.63,129387000
,30,2020-08-12,98.0,105.67,95.67,103.65,327441000
,31,2020-08-13,107.4,110.08,104.48,108.07,306379500
,32,2020-08-14,111.0,111.25,108.44,110.05,188664000
,33,2020-08-17,111.8,123.06,111.52,122.38,303634500
,34,2020-08-18,126.6,128.26,123.01,125.81,247117500
,35,2020-08-19,124.33,127.4,122.75,125.24,183079500
,36,2020-08-20,124.05,134.8,123.8,133.46,309177000
,37,2020-08-21,136.32,139.7,135.0,136.67,322344000
,38,2020-08-24,141.75,141.93,128.5,134.28,300954000
,39,2020-08-25,131.66,135.2,131.2,134.89,159883500
,40,2020-08-26,137.33,144.4,136.91,143.54,213591000
,41,2020-08-27,145.36,153.04,142.83,149.25,355395000
,42,2020-08-28,153.01,154.57,145.77,147.56,301218000
,43,2020-08-31,148.2,166.71,146.7,166.11,355123200
,44,2020-09-01,167.38,167.5,156.84,158.35,269523300
,45,2020-09-02,159.66,159.68,135.04,149.12,288528300
,46,2020-09-03,135.74,143.93,134.0,135.67,262788300
,47,2020-09-04,134.27,142.67,124.01,139.44,330965700
,48,2020-09-08,118.67,122.91,109.96,110.07,346397100
,49,2020-09-09,118.87,123.0,113.84,122.09,238397400
,50,2020-09-10,128.74,133.0,120.19,123.78,254791800
,51,2020-09-11,127.31,127.5,120.17,124.24,182152500
,52,2020-09-14,126.98,140.0,124.43,139.87,249061800
,53,2020-09-15,145.52,153.98,143.57,149.92,291894600
,54,2020-09-16,146.62,152.6,145.1,147.25,216837900
