date,open,high,low,close,volume
2020-07-07,0.69726,0.69978,0.69219,0.69459,245744
2020-07-08,0.69459,0.69865,0.69273,0.69807,257245
2020-07-09,0.69807,0.70012,0.69499,0.69626,279804
2020-07-10,0.69626,0.69693,0.69236,0.69462,223199
2020-07-13,0.69565,0.69929,0.69385,0.694,232137
2020-07-14,0.694,0.69776,0.69212,0.69747,320807
2020-07-15,0.69747,0.70377,0.69708,0.70074,247896
2020-07-16,0.70074,0.70127,0.69631,0.69699,253345
2020-07-17,0.69699,0.7005,0.69674,0.69936,160709
2020-07-20,0.69841,0.70175,0.69727,0.70158,156480
2020-07-21,0.70158,0.71469,0.70114,0.71272,227076
2020-07-22,0.71272,0.71833,0.7112,0.71398,279538
2020-07-23,0.71398,0.71618,0.70906,0.70973,316332
2020-07-24,0.70973,0.71253,0.70638,0.71049,284521
2020-07-27,0.70829,0.71499,0.70829,0.71489,246835
2020-07-28,0.71489,0.71771,0.7113,0.71546,252253
2020-07-29,0.71546,0.71971,0.71491,0.7187,247756
2020-07-30,0.7187,0.71979,0.71207,0.71939,257373
2020-07-31,0.71939,0.72274,0.71334,0.71392,348556
2020-08-03,0.71289,0.71498,0.70764,0.71232,263880
2020-08-04,0.71232,0.71673,0.71057,0.71587,240175
2020-08-05,0.71587,0.7241,0.71537,0.71909,229499
2020-08-06,0.71909,0.72394,0.71742,0.7235,262834
2020-08-07,0.7235,0.72431,0.71446,0.71572,266123
2020-08-10,0.71578,0.71841,0.71403,0.71489,171195
2020-08-11,0.71489,0.71896,0.71349,0.71424,234649
2020-08-12,0.71424,0.71759,0.71092,0.7161,246869
2020-08-13,0.7161,0.71881,0.71358,0.71478,203402
2020-08-14,0.71478,0.71754,0.7132,0.71703,166678
2020-08-17,0.7166,0.72275,0.71611,0.72138,144334
2020-08-18,0.72138,0.72647,0.72088,0.72429,203759
2020-08-19,0.72429,0.72758,0.71778,0.71778,231952
2020-08-20,0.71778,0.72026,0.71358,0.71914,248348
2020-08-21,0.71914,0.72159,0.71394,0.71589,225978
2020-08-24,0.71648,0.7204,0.71527,0.71612,180050
2020-08-25,0.71612,0.71977,0.71502,0.71937,186174
2020-08-26,0.71937,0.72396,0.71872,0.72323,185734
2020-08-27,0.72323,0.72905,0.72166,0.72579,305031
2020-08-28,0.72579,0.73667,0.72538,0.73649,278319
2020-08-31,0.73566,0.74034,0.73401,0.73755,214484
2020-09-01,0.73755,0.74135,0.73593,0.73715,321384
2020-09-02,0.73715,0.73817,0.73014,0.73371,279282
2020-09-03,0.73371,0.73394,0.72651,0.72721,333139
2020-09-04,0.72721,0.72988,0.72222,0.72812,337309
2020-09-07,0.72861,0.72984,0.72702,0.72748,184512
2020-09-08,0.72748,0.73092,0.72106,0.72131,296707
2020-09-09,0.72131,0.72878,0.71919,0.72819,244209
2020-09-10,0.72819,0.73247,0.72476,0.72576,248581
2020-09-11,0.72576,0.7306,0.72521,0.72825,205166
2020-09-14,0.72764,0.73036,0.72643,0.72878,149423
