,date,open,high,low,close,volume
0,2020-06-30,227.81,228.69,222.93,225.48,6094093001
1,2020-07-01,225.5,232.77,224.11,231.03,6463737443
2,2020-07-02,231.15,232.15,222.78,226.48,6212210566
3,2020-07-03,226.43,228.26,224.31,225.06,5109032700
4,2020-07-04,224.98,231.04,224.5,229.34,5228310135
5,2020-07-05,229.34,229.93,223.5,227.67,5292172429
6,2020-07-06,227.62,241.99,227.08,241.65,8782917553
7,2020-07-07,241.71,243.82,234.55,239.37,6441497597
8,2020-07-08,239.37,249.0,237.91,247.14,9892586411
9,2020-07-09,247.11,247.67,237.04,242.0,8429099199
10,2020-07-10,242.0,242.12,235.56,241.2,7281370522
11,2020-07-11,241.26,241.58,237.43,239.17,5643067316
12,2020-07-12,239.18,243.9,236.51,242.81,6596394718
13,2020-07-13,242.81,245.37,236.97,239.44,7787751468
14,2020-07-14,239.25,242.01,236.66,240.43,7357458555
15,2020-07-15,240.4,241.44,236.36,238.33,6189328448
16,2020-07-16,238.35,239.16,229.77,233.41,5832057567
17,2020-07-17,233.47,234.55,230.87,232.63,5859850529
18,2020-07-18,232.59,236.97,232.24,235.72,5397402117
19,2020-07-19,235.69,240.0,233.28,239.17,6251377305
20,2020-07-20,239.26,239.8,233.85,236.1,5600686192
21,2020-07-21,236.12,247.18,235.77,245.65,6806696015
22,2020-07-22,245.64,269.49,241.62,264.28,7702077383
23,2020-07-23,264.28,282.6,260.1,275.68,10281309262
24,2020-07-24,275.56,287.8,268.39,279.59,9466060358
25,2020-07-25,279.66,310.0,279.62,305.66,10785021813
26,2020-07-26,305.55,319.86,300.21,311.35,12003973026
27,2020-07-27,311.43,334.34,311.38,322.24,15644257058
28,2020-07-28,322.41,327.34,306.29,317.59,12357108065
29,2020-07-29,317.52,325.85,312.66,318.16,10878845706
30,2020-07-30,318.15,342.4,314.52,335.31,11827689045
31,2020-07-31,335.25,349.74,328.35,346.86,12030600492
32,2020-08-01,346.86,394.0,343.75,387.4,14045259477
33,2020-08-02,387.4,415.0,325.75,372.21,18909744275
34,2020-08-03,372.19,399.69,366.34,386.22,12834648062
35,2020-08-04,386.27,403.64,380.67,389.82,14086704221
36,2020-08-05,389.76,408.0,383.86,401.21,12875466638
37,2020-08-06,401.21,404.03,391.0,395.28,11304626458
38,2020-08-07,395.28,398.57,362.88,379.75,12751687084
39,2020-08-08,379.76,400.06,376.18,397.51,9342060531
40,2020-08-09,397.5,401.0,384.02,390.41,9451065592
41,2020-08-10,390.41,400.21,385.44,395.78,11685827893
42,2020-08-11,395.77,398.3,364.77,378.88,12792218737
43,2020-08-12,378.92,389.57,365.19,387.27,12408772745
44,2020-08-13,387.27,432.94,376.46,424.94,18480303526
45,2020-08-14,425.0,445.45,417.52,438.83,15064589987
46,2020-08-15,438.83,443.33,428.0,432.55,12416067894
47,2020-08-16,432.67,437.0,412.51,433.7,12168816874
48,2020-08-17,433.71,447.5,420.5,431.5,13227089410
49,2020-08-18,431.5,434.27,414.44,422.31,11978984079
50,2020-08-19,422.31,426.97,393.75,407.59,13137391167
51,2020-08-20,407.6,419.58,402.3,415.92,10043032427
52,2020-08-21,415.92,418.92,385.0,388.05,11781796374
53,2020-08-22,388.0,399.73,379.53,395.62,10131847985
54,2020-08-23,395.52,400.0,383.67,390.9,8137303970
55,2020-08-24,390.78,411.97,387.72,407.76,10328860398
56,2020-08-25,407.76,409.31,369.36,383.33,12428442042
57,2020-08-26,383.26,393.5,377.56,386.1,9967343483
58,2020-08-27,386.12,397.15,371.5,383.25,10457777652
59,2020-08-28,383.27,398.16,379.67,395.47,9120674421
60,2020-08-29,395.35,405.82,392.34,398.58,8777703481
61,2020-08-30,398.57,429.9,398.24,428.94,11211948040
62,2020-08-31,428.92,439.0,418.16,433.89,12774741797
63,2020-09-01,433.88,488.95,429.66,475.57,18862763756
64,2020-09-02,475.57,481.2,420.58,440.02,19691854014
65,2020-09-03,439.99,451.0,370.0,382.87,19622845896
66,2020-09-04,382.15,400.5,359.0,388.96,16747106257
67,2020-09-05,389.2,394.38,310.0,335.25,29880047640
68,2020-09-06,335.25,360.61,316.43,352.77,27643678917
69,2020-09-07,352.85,358.66,323.17,353.71,21763614732
70,2020-09-08,353.71,357.01,325.36,337.48,17991403432
71,2020-09-09,337.48,359.41,330.6,351.1,14547933520
72,2020-09-10,351.11,377.79,350.23,368.06,31421134556
73,2020-09-11,367.94,375.38,355.81,373.93,27296269329
74,2020-09-12,373.93,388.25,364.88,387.81,13295405814
75,2020-09-13,387.82,390.41,353.58,366.58,15005899191
76,2020-09-14,366.58,384.61,355.66,377.28,17536695361
77,2020-09-15,377.27,382.76,362.5,364.2,16140584321
78,2020-09-16,364.05,373.37,355.0,365.23,16107612177
79,2020-09-17,365.22,394.55,363.4,389.45,19899531080
80,2020-09-18,389.52,392.69,375.19,384.64,14108357740
81,2020-09-19,384.6,388.43,377.2,385.23,11049507684
82,2020-09-20,385.25,385.31,364.89,370.69,12292195784
83,2020-09-21,371.03,376.76,331.0,340.11,17398267133
84,2020-09-22,340.36,346.84,335.57,344.26,12732578043
85,2020-09-23,344.25,344.64,313.0,320.63,12899346599
86,2020-09-24,320.65,353.14,316.65,349.14,15714304470
87,2020-09-25,349.14,358.12,337.63,352.11,14381086966
88,2020-09-26,352.12,356.5,346.03,354.13,13049148579
89,2020-09-27,354.01,362.86,347.05,357.55,13598126926
90,2020-09-28,357.53,368.52,351.88,353.91,14258455166
91,2020-09-29,353.68,360.59,350.19,359.9,11600013236
92,2020-09-30,359.93,361.51,351.38,359.89,11818610610
93,2020-10-01,360.01,370.25,345.01,352.9,14679481911
94,2020-10-02,352.84,354.25,334.19,345.7,14215390463
95,2020-10-03,345.74,351.2,343.71,346.18,10060167889
96,2020-10-04,346.18,354.35,344.08,352.48,10696959020
97,2020-10-05,352.42,356.12,348.69,353.73,11809507622
98,2020-10-06,353.82,355.33,336.73,340.78,12830796112
99,2020-10-07,340.8,342.83,332.87,341.68,11929918060
100,2020-10-08,341.7,353.34,334.29,351.25,13461017711
101,2020-10-09,351.17,368.7,347.15,365.36,13043501763
102,2020-10-10,365.35,380.81,365.02,370.75,13618484324
103,2020-10-11,370.73,377.49,369.02,374.38,12584512533
104,2020-10-12,374.37,395.18,365.77,386.74,15867455424
105,2020-10-13,386.77,387.88,374.29,381.37,14226744838
106,2020-10-14,381.37,387.63,373.29,378.97,13918846567
107,2020-10-15,379.01,381.99,370.06,377.94,14964182545
108,2020-10-16,377.89,380.0,361.38,365.57,14670784817
109,2020-10-17,365.57,370.57,363.56,368.48,10951115359
110,2020-10-18,368.48,378.69,367.31,378.58,11047103109
111,2020-10-19,378.56,384.69,372.89,379.36,12811242092
112,2020-10-20,379.53,380.9,364.04,368.81,13741586582
113,2020-10-21,368.81,402.62,368.06,391.53,20241324322
114,2020-10-22,391.36,421.47,391.33,414.7,15772846485
115,2020-10-23,414.64,419.48,401.51,409.52,14256222052
116,2020-10-24,409.55,417.0,407.4,412.58,12201739194
117,2020-10-25,412.58,417.86,402.92,406.46,10890207469
118,2020-10-26,406.32,411.47,382.21,393.12,15155684229
119,2020-10-27,393.07,411.77,390.35,404.55,13940434102
120,2020-10-28,404.56,409.52,380.5,388.63,15276441134
121,2020-10-29,388.59,394.0,380.75,387.6,12920477749
122,2020-10-30,387.49,392.16,373.4,382.77,13688056970
123,2020-10-31,382.77,394.0,380.76,386.74,11276963426
124,2020-11-01,386.72,397.65,385.09,396.91,10475146018
125,2020-11-02,396.91,404.57,378.36,383.33,13997574252
126,2020-11-03,383.33,390.35,370.5,388.32,12588494762
127,2020-11-04,388.33,409.0,376.64,403.18,15126077675
128,2020-11-05,403.19,421.25,396.43,417.17,15440711038
129,2020-11-06,417.29,458.92,415.57,456.65,16738305610
130,2020-11-07,456.69,468.98,423.0,435.73,18873289788
131,2020-11-08,435.59,460.57,432.65,454.61,11292383601
132,2020-11-09,454.61,460.0,433.83,444.81,13704320630
133,2020-11-10,444.84,455.51,439.36,450.89,12090381666
134,2020-11-11,450.89,476.8,449.95,463.79,14075403511
135,2020-11-12,463.75,470.56,452.07,462.98,12877327234
136,2020-11-13,462.91,478.31,457.64,477.14,13191505725
137,2020-11-14,477.15,478.0,452.17,461.16,10312037942
138,2020-11-15,461.21,463.24,439.77,448.58,10308617165
139,2020-11-16,448.6,466.21,445.91,460.85,11441239444
140,2020-11-17,460.87,485.0,460.05,482.68,14593057877
141,2020-11-18,482.75,495.68,456.5,478.96,17880199224
142,2020-11-19,479.0,480.99,465.18,471.92,12473929218
143,2020-11-20,471.92,514.73,471.07,510.43,18629943296
144,2020-11-21,510.6,554.28,502.82,553.07,20757099184
145,2020-11-22,553.06,581.8,511.16,560.82,21967049601
146,2020-11-23,560.78,611.43,550.0,609.26,27272302872
147,2020-11-24,609.26,623.22,587.25,605.45,23281758100
148,2020-11-25,605.45,606.49,554.0,568.79,20088492893
149,2020-11-26,569.19,577.0,480.08,520.34,31104004592
150,2020-11-27,520.35,531.41,493.51,519.07,16831105703
151,2020-11-28,519.04,548.83,505.01,538.11,14770243833
152,2020-11-29,537.97,577.55,531.0,576.76,15017517758
153,2020-11-30,576.9,617.0,571.11,617.0,20276867833
154,2020-12-01,617.0,636.53,563.01,586.03,27178964465
155,2020-12-02,585.87,604.96,575.08,597.35,16883292129
156,2020-12-03,597.03,624.57,586.11,616.65,16146190946
157,2020-12-04,616.46,620.56,566.0,567.6,16337589997
158,2020-12-05,567.76,597.88,561.15,597.29,13498010566
159,2020-12-06,597.29,607.46,583.31,601.95,11290893016
160,2020-12-07,601.97,603.4,584.54,591.47,10720480962
161,2020-12-08,591.53,595.47,548.12,554.79,14398919320
162,2020-12-09,554.8,578.67,530.32,573.38,15855915840
163,2020-12-10,573.26,575.62,547.83,559.45,11672582040
164,2020-12-11,559.33,560.62,535.5,544.23,11098819124
165,2020-12-12,544.51,574.33,543.22,568.64,8534557897
166,2020-12-13,568.64,595.21,563.79,590.75,9070377862
167,2020-12-14,590.45,591.71,575.58,586.39,8125837102
168,2020-12-15,586.4,597.04,579.15,589.08,9326645840
169,2020-12-16,589.08,639.58,581.21,637.98,15817248373
170,2020-12-17,637.91,677.05,626.79,643.37,25479532147
171,2020-12-18,643.26,664.46,629.59,654.66,15756303983
172,2020-12-19,654.66,672.06,646.54,658.96,12830893778
173,2020-12-20,658.8,661.4,621.46,638.4,13375855442
174,2020-12-21,638.19,648.35,596.9,608.07,14419493621
175,2020-12-22,608.07,638.5,587.54,636.82,14745890080
176,2020-12-23,636.73,638.75,551.45,585.11,15261413038
177,2020-12-24,585.37,614.99,565.61,612.27,14317413703
178,2020-12-25,612.25,633.97,604.26,626.75,13520927700
179,2020-12-26,626.71,652.7,615.22,636.52,14761125202
180,2020-12-27,636.85,714.99,625.01,684.12,26093552821
181,2020-12-28,684.11,747.0,680.9,729.7,24222565862
182,2020-12-29,729.65,739.66,688.0,731.76,18710683199
183,2020-12-30,731.79,759.0,717.0,752.86,17294574210
184,2020-12-31,752.87,755.9,724.0,737.67,13926846861
185,2021-01-01,737.89,750.0,717.1,730.99,13652004358
186,2021-01-02,730.97,789.21,715.22,775.3,19740771179
187,2021-01-03,775.29,1015.14,770.0,980.44,45200463368
188,2021-01-04,980.44,1168.99,886.33,1042.38,56945985763
189,2021-01-05,1042.24,1136.93,975.0,1103.73,41535932781
190,2021-01-06,1103.71,1215.98,1058.32,1212.02,44699914188
191,2021-01-07,1212.68,1291.94,1140.0,1227.34,40468027280
192,2021-01-08,1227.55,1275.0,1063.18,1217.35,44334826666
193,2021-01-09,1217.31,1310.0,1172.86,1281.45,33233105361
194,2021-01-10,1281.25,1350.88,1153.0,1255.13,40616938053
195,2021-01-11,1255.1,1260.24,905.0,1088.79,60733630300
196,2021-01-12,1088.55,1150.0,1006.83,1049.79,37494601692
197,2021-01-13,1050.46,1137.75,980.0,1130.8,30109792795
198,2021-01-14,1130.79,1246.99,1087.05,1231.32,33410915929
199,2021-01-15,1231.59,1255.59,1065.0,1168.1,35972039310
200,2021-01-16,1169.04,1294.0,1152.3,1227.14,32319240157
201,2021-01-17,1227.76,1268.83,1165.78,1232.99,29258032819
202,2021-01-18,1232.6,1261.0,1181.9,1258.48,25817455560
203,2021-01-19,1258.55,1440.0,1252.01,1368.04,47195935190
204,2021-01-20,1367.7,1408.5,1234.01,1376.88,46784030909
205,2021-01-21,1377.15,1390.0,1081.0,1110.62,45932464754
206,2021-01-22,1110.61,1275.99,1039.62,1233.6,43918338506
207,2021-01-23,1233.42,1272.0,1196.74,1234.55,27253895441
208,2021-01-24,1234.47,1401.92,1221.66,1394.0,36418163554
209,2021-01-25,1394.04,1477.3,1293.65,1317.97,43565777745
210,2021-01-26,1317.98,1378.12,1245.0,1367.98,41572917750
211,2021-01-27,1367.97,1375.91,1206.05,1240.96,39394416990
212,2021-01-28,1240.62,1363.27,1220.08,1333.19,34637234789
213,2021-01-29,1333.61,1442.88,1286.56,1379.87,53611955259
214,2021-01-30,1380.04,1408.97,1327.0,1380.0,30616574234
215,2021-01-31,1380.0,1382.0,1283.0,1313.94,25198853581
216,2021-02-01,1313.95,1378.02,1271.31,1374.6,29210670920
217,2021-02-02,1374.55,1549.0,1360.27,1513.67,45437142801
218,2021-02-03,1513.85,1672.21,1509.48,1668.72,41874566399
219,2021-02-04,1668.71,1699.0,1556.0,1597.55,44396871836
220,2021-02-05,1597.34,1763.93,1589.17,1721.06,40108628454
221,2021-02-06,1721.06,1745.25,1646.7,1679.77,39873420648
222,2021-02-07,1679.76,1695.38,1493.28,1615.32,39889440151
223,2021-02-08,1615.51,1780.0,1565.98,1752.98,48012285956
