date,open,high,low,close,volume
2020-07-07,210.45,214.67,207.99,208.25,33600732
2020-07-08,210.07,213.26,208.69,212.83,33600025
2020-07-09,216.33,216.38,211.47,214.32,33121700
2020-07-10,213.62,214.08,211.08,213.67,26177633
2020-07-13,214.48,215.8,206.5,207.07,38135606
2020-07-14,206.13,208.85,202.03,208.35,37591820
2020-07-15,209.56,211.33,205.03,208.04,32179409
2020-07-16,205.4,205.7,202.31,203.92,29940700
2020-07-17,204.47,205.04,201.39,202.88,31635300
2020-07-20,205.0,212.3,203.01,211.6,36884836
2020-07-21,213.66,213.94,208.03,208.75,38105777
2020-07-22,209.2,212.3,208.39,211.75,49605700
2020-07-23,207.19,210.92,202.15,202.54,67457035
2020-07-24,200.42,202.86,197.51,201.3,39827000
2020-07-27,201.47,203.97,200.86,203.85,30160900
2020-07-28,203.61,204.7,201.74,202.02,23251400
2020-07-29,202.5,204.65,202.01,204.06,19632602
2020-07-30,201.0,204.46,199.57,203.9,25079600
2020-07-31,204.4,205.1,199.01,205.01,51247969
2020-08-03,211.52,217.64,210.44,216.54,78983009
2020-08-04,214.17,214.77,210.31,213.29,49280100
2020-08-05,214.9,215.0,211.57,212.94,28858621
2020-08-06,212.34,216.37,211.55,216.35,32656843
2020-08-07,214.85,215.7,210.93,212.48,27820421
2020-08-10,211.67,211.88,206.35,208.25,36716500
2020-08-11,207.16,207.65,203.14,203.38,36446500
2020-08-12,205.29,210.28,204.75,209.19,28041364
2020-08-13,209.44,211.35,208.15,208.7,22588900
2020-08-14,208.76,209.59,207.51,208.9,17958936
2020-08-17,209.6,211.19,208.92,210.28,20184800
2020-08-18,210.53,212.36,209.21,211.49,21336200
2020-08-19,211.49,212.1,209.25,209.7,27627600
2020-08-20,209.54,215.0,208.91,214.58,26981500
2020-08-21,213.86,216.25,212.85,213.02,36249319
2020-08-24,214.79,215.52,212.43,213.69,25460147
2020-08-25,213.1,216.61,213.1,216.47,23043700
2020-08-26,217.88,222.09,217.36,221.15,39600828
2020-08-27,222.89,231.15,219.4,226.58,57602200
2020-08-28,228.18,230.64,226.58,228.91,26292900
2020-08-31,227.0,228.7,224.31,225.53,28774200
2020-09-01,225.51,227.45,224.43,227.27,25791235
2020-09-02,227.97,232.86,227.35,231.65,34080839
2020-09-03,229.27,229.31,214.96,217.3,58400300
2020-09-04,215.1,218.36,205.19,214.25,59664100
2020-09-08,206.5,210.03,202.2,202.66,52924330
2020-09-09,207.6,214.84,206.7,211.29,45679000
2020-09-10,213.4,214.74,204.11,205.37,35461514
2020-09-11,207.2,208.63,201.24,204.03,33620100
2020-09-14,204.24,209.2,204.03,205.41,30375800
2020-09-15,208.42,209.78,206.93,208.78,21823942
2020-09-16,210.62,210.65,204.64,205.05,26372464
2020-09-17,200.05,204.33,199.96,202.91,34011300
2020-09-18,202.8,203.65,196.25,200.39,55225326
2020-09-21,197.19,202.71,196.38,202.54,39839700
2020-09-22,205.06,208.1,202.08,207.42,33517100
2020-09-23,207.9,208.1,200.03,200.59,30803800
2020-09-24,199.85,205.57,199.2,203.19,31202500
2020-09-25,203.55,209.04,202.54,207.82,29437312
2020-09-28,210.88,212.57,208.06,209.44,32004936
2020-09-29,209.35,210.07,206.81,207.26,24464472
2020-09-30,207.73,211.98,206.54,210.33,33829100
2020-10-01,213.49,213.99,211.32,212.46,27158418
2020-10-02,208.0,210.99,205.54,206.19,33154800
2020-10-05,207.22,210.41,206.98,210.38,21331600
2020-10-06,208.82,210.18,204.82,205.91,28554300
2020-10-07,207.06,210.11,206.72,209.83,25681100
2020-10-08,210.51,211.19,208.32,210.58,19925837
2020-10-09,211.23,215.86,211.23,215.81,26458047
2020-10-12,218.79,223.86,216.81,221.4,40461400
2020-10-13,222.72,225.21,220.43,222.86,28950843
2020-10-14,223.0,224.22,219.13,220.86,23451713
2020-10-15,217.1,220.36,216.01,219.66,22733100
2020-10-16,220.15,222.29,219.32,219.66,26057900
2020-10-19,220.42,222.3,213.72,214.22,27625841
2020-10-20,215.8,217.37,213.09,214.65,22753511
2020-10-21,213.12,216.92,213.12,214.8,22724906
2020-10-22,213.93,216.06,211.7,214.89,22351500
2020-10-23,215.03,216.28,213.16,216.23,18879608
2020-10-26,213.85,216.34,208.1,210.08,37111600
