date,open,high,low,close,volume
2020-07-07,107.334,107.791,107.245,107.516,138748
2020-07-08,107.516,107.711,107.201,107.255,125405
2020-07-09,107.255,107.397,107.097,107.198,178025
2020-07-10,107.198,107.264,106.636,106.892,151760
2020-07-13,106.884,107.319,106.787,107.29,131483
2020-07-14,107.29,107.435,107.118,107.233,189490
2020-07-15,107.233,107.31,106.666,106.931,171814
2020-07-16,106.931,107.402,106.833,107.21,173810
2020-07-17,107.21,107.362,106.939,107.014,135795
2020-07-20,107.014,107.545,107.013,107.247,159784
2020-07-21,107.247,107.368,106.679,106.793,176453
2020-07-22,106.793,107.289,106.711,107.152,174734
2020-07-23,107.152,107.229,106.711,106.859,145894
2020-07-24,106.859,106.905,105.682,106.076,232360
2020-07-27,106.008,106.105,105.116,105.369,234885
2020-07-28,105.369,105.687,104.956,105.09,218994
2020-07-29,105.09,105.242,104.772,104.918,245106
2020-07-30,104.918,105.296,104.68,104.725,243617
2020-07-31,104.725,106.055,104.185,105.85,396995
2020-08-03,105.752,106.472,105.581,105.949,364017
2020-08-04,105.949,106.195,105.638,105.714,209234
2020-08-05,105.714,105.874,105.321,105.597,257063
2020-08-06,105.597,105.698,105.301,105.544,251022
2020-08-07,105.544,106.057,105.458,105.904,246097
2020-08-10,105.852,106.203,105.708,105.958,161834
2020-08-11,105.958,106.685,105.876,106.487,243814
2020-08-12,106.487,107.015,106.44,106.906,248987
2020-08-13,106.906,107.05,106.566,106.922,214737
2020-08-14,106.922,107.039,106.435,106.541,164248
2020-08-17,106.541,106.654,105.943,106.002,165506
2020-08-18,106.002,106.052,105.283,105.401,215578
2020-08-19,105.401,106.152,105.103,106.103,247787
2020-08-20,106.103,106.219,105.745,105.791,251127
2020-08-21,105.791,106.072,105.442,105.758,206046
2020-08-24,105.767,105.998,105.69,105.973,164226
2020-08-25,105.973,106.578,105.871,106.384,200060
2020-08-26,106.384,106.556,105.956,105.981,179617
2020-08-27,105.981,106.701,105.601,106.561,337575
2020-08-28,106.561,106.947,105.202,105.339,364098
2020-08-31,105.452,106.096,105.291,105.899,251450
2020-09-01,105.899,106.152,105.593,105.944,255027
2020-09-02,105.944,106.302,105.85,106.177,202646
2020-09-03,106.177,106.552,106.003,106.181,225986
2020-09-04,106.181,106.506,106.056,106.208,196762
2020-09-07,106.241,106.386,106.132,106.236,126147
2020-09-08,106.236,106.382,105.861,106.023,183728
2020-09-09,106.023,106.274,105.789,106.175,189241
2020-09-10,106.175,106.303,105.981,106.122,181986
2020-09-11,106.122,106.266,106.056,106.137,154194
2020-09-14,106.088,106.166,105.546,105.716,128878
2020-09-15,105.716,105.814,105.299,105.439,160032
2020-09-16,105.439,105.439,104.798,104.941,228003
2020-09-17,104.941,105.175,104.525,104.738,208613
2020-09-18,104.738,104.873,104.273,104.55,167274
2020-09-21,104.483,104.907,104.0,104.643,229195
2020-09-22,104.643,105.077,104.406,104.924,191036
2020-09-23,104.924,105.497,104.845,105.355,214602
2020-09-24,105.355,105.531,105.205,105.39,210247
2020-09-25,105.39,105.7,105.24,105.551,181910
2020-09-28,105.475,105.693,105.264,105.446,172838
2020-09-29,105.446,105.735,105.342,105.612,212254
2020-09-30,105.612,105.804,105.401,105.413,248106
2020-10-01,105.413,105.728,105.402,105.501,239013
2020-10-02,105.501,105.666,104.942,105.314,274222
2020-10-05,105.242,105.796,105.234,105.744,194031
2020-10-06,105.744,105.785,105.469,105.603,216186
2020-10-07,105.603,106.108,105.597,105.947,191983
2020-10-08,105.947,106.108,105.924,106.018,164610
2020-10-09,106.018,106.042,105.58,105.594,182667
